,FLAG_TSUNAMI,YEAR,FOCAL_DEPTH,EQ_PRIMARY,INTENSITY,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,POPULATION
82,No,1962,37,5.8,7,USA,UTAH,41.8,-111.8,150,,,,,,2,,,,2,186538000
83,No,1962,27,7.2,9,IRAN,IRAN:   BUYIN-ZARA,35.63,49.87,140,12225,4,,2776,4,4,21310,4,,,0
84,No,1962,,5.5,6,TURKEY,TURKEY:  IGDIR,39.9,43.9,140,1,1,,,,2,,,,,28832827
85,No,1962,,5.5,,GREECE,GREECE:  AEGEAN SEA; TURKEY:  BALIKESIR,39.6,23.3,130,,,,,,2,,,,,8448233
86,No,1962,8,5,8,IRAN,"IRAN:  TORBAT HEYDARIYEH, AKHMEDABAD",35.1,58.7,140,6,1,,,,2,,,,,0
87,No,1962,40,5.5,,IRAN,"IRAN:  GAHKOM,GOLRUIYEH,PATKUIYEH,LAIGAZAN,GANJ",28.1,55.6,140,,,,,,2,,,,,0
88,No,1962,,5.5,7,CHINA,CHINA:  NINGXIA,38.12,106.27,30,,,,,,1,,1,,,665770000
89,Yes,1962,33,6.5,,USA,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,52.47,-168.54,150,,,,,,,,,,,186538000
90,No,1963,3,4.5,9,IRAN,"IRAN:  KHENDODZHAN, DAKHNE-UDZHAK",36.9,57.8,140,4,1,,,,2,,,,,0
91,Yes,1963,47,7.3,,TAIWAN,"TAIWAN:  TAIPEI, HSINCH",24.5,122.1,30,15,1,,18,1,2,,2,,,0
92,No,1963,5,5.4,,LIBYA,LIBYA:  BARCE (AL MARJ),32.6,21,15,300,3,,375,3,2,,3,,3,1607171
93,No,1963,40,7.2,,IRAN,IRAN:  KARKHANEH,34.4,47.9,140,100,2,,,,3,,,,,0
94,No,1963,,,12,ITALY,ITALY:  S,40.8,15.6,130,,,,,,,,,,,51252000
95,No,1963,33,7,,IRAN,IRAN:  HENDOJAN,37,57.9,140,4,1,,,3,2,100,2,,,0
96,No,1963,,7,8,CHINA,CHINA:  QINGHAI PROVINCE,35.7,97,30,,,,,,1,,1,,1,682335000
97,No,1963,,6,7,CHINA,CHINA:   YUNNAN PROVINCE,25.8,99.5,30,,,,,,2,,2,,,682335000
98,No,1963,50,5.5,,NICARAGUA,NICARAGUA:  LEON,12.2,-86.9,100,,,,,,1,,,,,1946234
99,No,1963,65,6,,INDONESIA,INDONESIA:  BALI,-8.2,115.6,60,,,,,,,,,,,95015297
100,No,1963,13,4.9,7,SLOVENIA,BALKANS NW:  SLOVENIA:  LJUBLJANA,46.1,14.8,130,,,,,,2,,,,,1616971
101,No,1963,,5.8,7,CHINA,CHINA:  HEILONGJIANG PROVINCE,47.9,130.6,30,,,,,,1,,,,,682335000
102,No,1963,38,5.1,,IRAN,IRAN:  W,33.2,49.2,140,,,,,,2,,,,,0
103,No,1963,5,6,10,MACEDONIA,BALKANS NW:  MACEDONIA:  SKOPJE,42.1,21.3,130,1070,4,,3300,4,4,,4,,,0
104,No,1963,46,5.2,,IRAN,"IRAN:  GAHKOM,LAIGAZAN,PATKUIYEH,GOLRUIYEH,GANJ",28.2,55.7,140,5,1,,,,2,,,,,0
105,No,1963,543,7.7,,PERU,PERU:  S,-13.8,-69.3,160,,,,,,1,,,,,11062300
106,No,1963,,6.5,,CHINA,CHINA:  XINJIANG,39.8,74.2,40,1,1,,,,1,40,1,,,682335000
107,No,1963,25,5.3,,INDIA,INDIA:  KASHMIR:  SW,33.9,74.8,60,80,2,,,,2,,,,,478825608
108,No,1963,35,7.5,,SOLOMON ISLANDS,SOLOMON ISLANDS,-10.472,165.77,170,,,,,,,,,,,128838
109,No,1963,28,7.5,,SOLOMON ISLANDS,SOLOMON ISLANDS,-10.286,165.413,170,,,,,,,,,,,128838
110,Yes,1963,19,6.1,,TURKEY,TURKEY:  YALOVA:  CINARCIK,40.75,29,140,1,1,,,2,2,7,1,163,3,29531365
111,Yes,1963,75,7,,PERU,"PERU:  HUAYLLACAYAN,CAJACAY,MALYAS,MALVAS,HUARAZ",-10.385,-78.022,160,1,1,,,,2,,,,,11062300
112,Yes,1963,48,7.1,,RUSSIA,RUSSIA:  KURIL ISLANDS,44.426,149.272,50,,,,,,,,,,,0
113,Yes,1963,13,8.5,9,RUSSIA,RUSSIA:  KURIL ISLANDS,44.77,149.798,50,,,,,,1,,,,,0
114,Yes,1963,28,7.9,,RUSSIA,RUSSIA:  KURIL ISLANDS,44.772,150.563,50,,,,,,,,,,,0
115,No,1963,100,8.3,,INDONESIA,INDONESIA:  BANDA SEA,-6.86,129.58,170,,,,,,1,,,,,95015297
116,Yes,1963,64,6.6,,INDONESIA,"INDONESIA:  JAVA:  LABUHAN, MENES, PONOROGO",-6.4,105.4,60,,,,,,1,,,,1,95015297
117,Yes,1963,45,7.5,,TONGA,TONGA TRENCH,-24.8,-176.6,170,,,,,,,,,,,68981
118,No,1964,90,5.2,,INDONESIA,INDONESIA:  SULAWESI:  PINRANG,-3.7,119.4,170,8,1,,27,1,2,,,,,97596733
119,No,1964,33,7,,TAIWAN,TAIWAN:  TAINAN,23.2,120.6,30,107,3,,479,3,3,3000,4,,,0
120,No,1964,15,5.4,7,CHINA,CHINA:   YUNNAN PROVINCE,26.1,101,30,,,,,,1,,,,,698355000
121,No,1964,33,4.6,,AZORES (PORTUGAL),AZORES,38.8,-28.4,130,,,,,,3,,,,,0
122,Yes,1964,33,9.2,10,USA,ALASKA,61.017,-147.648,150,15,1,,,,4,,3,,,191889000
123,Yes,1964,130,7,7,INDONESIA,INDONESIA:  BANDA ACEH,5.9,95.7,60,,,,,,3,,3,,,97596733
124,No,1964,32,6,8,CROATIA,BALKANS NW:  CROATIA,45.3,18.1,130,3,1,,,,3,,,,,4252876
125,No,1964,33,6,,TANZANIA,TANZANIA,-4,34.9,10,1,1,,19,1,3,,,,,11295681
126,Yes,1964,30,6.9,,JAPAN,JAPAN:  NW. HONSHU ISLAND,40.3,139,30,,,,,,2,2,1,,,97826000
127,Yes,1964,,6.6,,JAPAN,JAPAN:  NW. HONSHU ISLAND,40.4,139,30,,,,,,,,,,,97826000
128,No,1964,,6.1,8,TURKEY,"TURKEY:  MALATYA,ADIYAMAN",38.1,38.3,140,8,1,,,,2,,,,,30244261
129,Yes,1964,40,7.5,5,JAPAN,JAPAN:  HONSHU:  W COAST,38.65,139.2,30,26,1,,450,3,4,2250,4,2250,4,97826000
130,No,1964,,7.5,,VANUATU,VANUATU ISLANDS:  ESPIRITU SANTO ISLANDS,-15.5,166.5,170,,,,,,,,,,,72115
131,No,1964,100,7.4,,MEXICO,MEXICO:  GUERRERO,18.3,-100.4,150,78,2,,,,3,,,,,42771079
132,Yes,1964,15,6.8,,RUSSIA,RUSSIA:  KAMCHATKA,47.159,153.876,50,,,,,,,,,,,0
133,No,1964,,4.7,,CHINA,CHINA:  SHANXI PROVINCE,35.1,111.6,30,,,,,,1,23,1,,,698355000
134,No,1964,15,7,10,TURKEY,"TURKEY:  MANYAS, BURSA, BALIKESIR",40.3,28.2,140,19,1,,,,2,,,,,30244261
135,Yes,1964,45,7.6,8,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  NEW BRITAIN,-5.7,150.7,170,,,,,,1,,,,,2434223
136,Yes,1964,40,,,JAPAN,"NW. HONSHU ISLAND, JAPAN",40.4,138.9,30,,,,,,,,,,,97826000
137,No,1964,,,,IRAN,IRAN:  S,27,54,140,,,,,,2,,,,,0
138,No,1965,10,5.5,,ALGERIA,ALGERIA:  M'SILA,35.7,4.4,15,4,1,,350,3,2,25000,4,,,12550885
139,No,1965,10,5.5,7,CHINA,CHINA:  SHANXI PROVINCE,35,111.63,30,,,,,,2,,3,,,715185000
140,Yes,1965,6,7.6,,INDONESIA,INDONESIA:  SANANA ISLAND,-2.4,126.1,170,71,2,,,,2,3000,4,,,100267062
141,Yes,1965,36,8.7,6,USA,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,51.29,178.55,150,,,,,,1,,,,,194303000
142,No,1965,52,5.1,,IRAN,IRAN:  NW,37.6,47.1,140,20,1,,,,3,,,,,0
143,Yes,1965,36,7,,CHILE,CHILE:  NORTHERN,-25.67,-70.63,160,,,,,,,,,,,8989621
144,Yes,1965,18,6.3,,GREECE,"GREECE:  ALONISOS, SKOPELOS",39.4,24,130,38,1,,253,3,3,,,,,8550333
145,No,1965,219,7.3,7,AFGHANISTAN,AFGHANISTAN,36.3,70.7,40,,,,,,1,,,,,9956320
146,Yes,1965,58,6,6,CHILE,CHILE:  CENTRAL,-31.81,-71.26,160,,,,,,,,,,,8989621
147,No,1965,61,7.3,,CHILE,CHILE:  CENTRAL,-32.4,-71.2,160,400,3,,,,4,,,,,8989621
148,Yes,1965,20,7.6,,USA,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,50.32,177.93,150,,,,,,,,,,,194303000
149,No,1965,78,7.1,10,GREECE,GREECE,38.6,22.4,130,6,1,,,,2,,,,,8550333
150,No,1965,34,6.2,10,GREECE,GREECE:  SOUTHERN,37.7,21.8,130,32,1,,200,3,3,,3,,,8550333
151,No,1965,36,6,,JAPAN,"JAPAN:  AICHI, SHIZOUKA PREFECTURES",34.9,138,30,1,1,,4,1,1,,,,,98883000
152,No,1965,59,6.6,8,USA,WASHINGTON:  SEATTLE,47.4,-122.3,150,7,1,,,,4,,,,,194303000
153,No,1965,23,6,6,EL SALVADOR,EL SALVADOR:  SAN MARCOS,13.5,-89.3,100,125,3,,1138,4,4,,,,,3201313
154,Yes,1965,,7.2,,RUSSIA,RUSSIA:  KURIL ISLANDS,44.7,148.7,50,,,,,,,,,,,0
155,No,1965,40,6,,IRAN,"IRAN:  HADJIABAD, SARKHUN, SARCHAHAN",28.1,55.9,140,,,,,,3,,,,,0
156,Yes,1965,40,6.5,,USA,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,53.03,-167.55,150,,,,,,1,,,,,194303000
157,No,1965,15,6.1,7,CHINA,CHINA:   YUNNAN PROVINCE,22.4,101.6,30,,,,,,1,,,,,715185000
158,Yes,1965,18,6.3,8,GREECE,NORTH CORINTH GULF,38.267,22.3,130,1,1,,6,1,2,,,,,8550333
159,Yes,1965,13,7.6,,VANUATU,VANUATU ISLANDS,-15.8,167.2,170,,,,,,2,,,,2,74270
160,Yes,1965,33,7.3,,VANUATU,VANUATU ISLANDS,-15.9,166.8,170,,,,,,,,,,,74270
161,Yes,1965,28,7.8,,MEXICO,"MEXICO:  ME\XICO CITY, OAXACA",16.3,-95.8,150,6,1,,,,1,,,,1,44123853
162,Yes,1965,28,6.5,3,CHILE,CHILE:  SOUTHERN,-42.9,-75.13,160,,,,,,,,,,,8989621
163,No,1965,,6.6,8,CHINA,CHINA:  XINJIANG PROVINCE,43.9,87.8,40,,,,,,,,3,,,715185000
164,No,1966,,5.1,7,CHINA,CHINA:  YUNNAN PROVINCE,27.9,99.7,30,,,,,,1,,1,,,735400000
165,No,1966,38,6.3,,GREECE,GREECE:  CENTRAL,39.2,22,130,1,1,,60,2,2,450,3,,,8613651
166,No,1966,,6.5,9,CHINA,CHINA:  YUNNAN PROVINCE,26.1,103.1,30,,,,,,2,,3,,,735400000
167,No,1966,,6.2,,CHINA,CHINA:   YUNNAN PROVINCE,26.1,103.1,30,,,,,,1,,1,,,735400000
168,No,1966,,5.2,7,CHINA,CHINA:  HEBEI PROVINCE,37.47,115.03,30,,,,,,1,11,1,,,735400000
169,No,1966,38,6,8,TURKEY,"TURKEY:  VARTO, MUS",39.1,41.6,140,10,1,,,,3,,,,,31717507
170,No,1966,8,7.4,9,CHINA,CHINA:  HEBEI PROVINCE,37.35,114.92,30,,3,,,,4,,4,,,735400000
171,Yes,1966,48,8,,TAIWAN,TAIWAN,24.1,122.6,30,7,1,,10,1,2,,2,,,0
172,No,1966,,5.6,6,CHINA,CHINA:  HEBEI PROVINCE,37.27,114.97,30,,,,,,1,,2,,,735400000
173,No,1966,36,7,,UGANDA,"UGANDA:  KICHWAMBA, BONDIBOGYO",0.6,30.2,10,140,3,,,3,2,,,,,8263439
174,No,1966,15,7.6,10,CHINA,CHINA:  HEBEI PROVINCE,37.5,115.1,30,,3,,,,4,,4,,,735400000
175,No,1966,,6.2,7,CHINA,CHINA:  HEBEI PROVINCE,37.68,115.27,30,,,,,,2,,2,,,735400000
176,No,1966,,5.3,,CHINA,CHINA:  HEBEI PROVINCE,37.25,114.78,30,,,,,,1,22,1,,,735400000
177,No,1966,,,,UZBEKISTAN,UZBEKISTAN:  TASHKENT,41.2,69.1,40,10,1,,,,4,,,,,10493436
178,No,1966,41,4.8,,TURKEY,TURKEY,38,42.6,140,,,,,,2,,,,,31717507
179,Yes,1966,31,7.1,,SOLOMON ISLANDS,SOLOMON ISLANDS:  GUADALCANAL,-10.343,160.883,170,,,,,,,,,,,140991
180,No,1966,23,6.3,8,NEPAL,NEPAL-INDIA,29.554,80.854,60,80,2,,100,2,2,5200,4,,,11172529
181,No,1966,,,,TURKEY,TURKEY:  MUS,38.5,41.3,140,14,1,,,,,,,,,31717507
182,No,1966,64,4.6,,TURKEY,TURKEY:  BAGICI,38.9,41.3,140,12,1,,20,1,3,,,,,31717507
183,Yes,1966,33,5.5,6,RUSSIA,RUSSIA:  BLACK SEA,44.75,37,40,,,,,,,,,,,0
184,No,1966,53,5.6,,INDIA,INDIA:  N,28.7,78.9,60,15,1,,,,1,,,,,509631500
185,No,1966,24,6.8,9,TURKEY,TURKEY:  VARTO,39.2,41.6,140,2394,4,,,,3,,,,,31717507
186,No,1966,17,5.9,8,GREECE,GREECE:  SOUTHERN,37.5,22.1,130,1,1,,25,1,3,180,3,,,8613651
187,No,1966,8,5.2,,COLOMBIA,COLOMBIA,4.6,-73.9,160,6,1,,,,3,,,,,19279740
188,No,1966,,5.4,7,CHINA,CHINA:  YUNNAN PROVINCE,24,97.7,30,,,,,,1,,,,,735400000
189,No,1966,12,5,,VENEZUELA,VENEZUELA,10.8,-69.5,160,,,,,,3,,,,,0
190,No,1966,,6.4,9,CHINA,CHINA:   YUNNAN PROVINCE,27.5,100.1,30,,,,,,3,,3,,,735400000
191,No,1966,,5.2,7,CHINA,CHINA:  JILIN PROVINCE,43.83,125.12,30,,,,,,3,,,,,735400000
192,Yes,1966,38,8.1,9,PERU,"PERU:  LIMA,HUACHO,HUAURA, CHANCAY,SUPE,SAN NICOLAS",-10.748,-78.638,160,110,3,,3000,4,4,,,,,12045787
193,No,1966,20,5.7,,GREECE,GREECE:  CENTRAL,39.2,21.2,130,1,1,,23,1,3,,3,,,8613651
194,Yes,1966,47,7.8,8,CHILE,"CHILE:  TALTAL, CATALINA",-25.5,-70.7,160,3,1,,6,1,1,,3,,,9152844
195,Yes,1966,83,7.8,,SOLOMON ISLANDS,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS,-11.893,166.445,170,,,,,,,,,,,140991
196,Yes,1966,23,7.2,,SOLOMON ISLANDS,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS,-12.334,166.684,170,,,,,,,,,,,140991
197,No,1967,10,6,,GREECE,GREECE,38.4,22,130,,,,,,2,,,,,8684088
198,No,1967,35,7.5,10,MONGOLIA,MONGOLIA,48.1,102.8,40,,,,,,1,,,,,1173191
199,No,1967,,5.5,7,CHINA,CHINA:  SICHUAN PROVINCE,30.2,104.1,30,,,,,,2,417,3,,,754550000
200,No,1967,33,5.6,,ALBANIA,ALBANIA:  GJIROKASTEV,40,20.2,130,,,,,,2,77,2,,,1965598
